"Code","Name","Enabled","AdminUnit"
EmailTemplateGroupButtonsFeature,EmailTemplateGroupButtonsFeature,1,All employees
EmailTemplateLegacyMarkupFeature,EmailTemplateLegacyMarkupFeature,0,All employees
EmailTemplateLookupGallery,"",1,All employees
EmailTemplateMultiLanguageInActionDashBoard,EmailTemplateMultiLanguageInActionDashBoard,1,All employees
EmailTemplateMultiLanguageInEmailPage,EmailTemplateMultiLanguageInEmailPage,1,All employees
EmailTemplateUserTaskMultiLanguageV2,EmailTemplateUserTaskMultiLanguageV2,1,All employees
EmailTemplateUserTaskMultiLanguageV2,EmailTemplateUserTaskMultiLanguageV2,1,All portal users
EnableCustomPrefixRouteApi,EnableCustomPrefixRouteApi,1,All portal users
EnableNewUserLicensing,EnableNewUserLicensing,0,All employees
EnableOldCampaignEventElement,"",0,All employees
EnableOldCampaignLandingElement,"",1,All employees
EnableOldPartnershipLogic,EnableOldPartnershipLogic,0,All employees
EnableReportFileProcessingUserTask,EnableReportFileProcessingUserTask,1,All employees
EnableReportFileProcessingUserTask,EnableReportFileProcessingUserTask,1,All portal users
EnableThemeSwitcher,EnableThemeSwitcher,,
EntityPublishWithCompilation,EntityPublishWithCompilation,0,All employees
EntityStageHistoryJournaling,EntityStageHistoryJournaling,1,All employees
EntityStageHistoryJournaling,EntityStageHistoryJournaling,1,All portal users
EsnCenterLoggerEnabled,EsnCenterLoggerEnabled,0,All employees
ESPSelection,"",0,All employees
EstimateWithIcons,EstimateWithIcons,1,All employees
EstimateWithIcons,EstimateWithIcons,1,All portal users
EventAudienceImport,"",1,All employees
ExchangeCalendarWithoutMetadata,ExchangeCalendarWithoutMetadata,1,All employees
ExchangeListenerEnabled,ExchangeListenerEnabled,1,All employees
ExchangeListenerEnabled,ExchangeListenerEnabled,1,All employees
ExchangeListenerEnabled,ExchangeListenerEnabled,1,All portal users
ExchangeRecurringAppointments,"",1,All employees
ExecutionDiagramMultiInstanceLabels,ExecutionDiagramMultiInstanceLabels,1,All employees
ExecutionDiagramMultiInstanceLabels,ExecutionDiagramMultiInstanceLabels,1,All portal users
FetchSchemaFromMetadataForDeduplication,"",1,All employees
FillSingleQueue,FillSingleQueue,1,All employees
FillSingleQueue,FillSingleQueue,1,All portal users
FindDuplicatesOnSave,FindDuplicatesOnSave,0,All employees
FixChatMessageId,FixChatMessageId,1,All employees
FixedSectionGridCaptions,FixedSectionGridCaptions,1,All employees
FixedSectionGridCaptions,FixedSectionGridCaptions,1,All portal users
ForceOpenProcessPagesFromWebSocket,"",1,All employees
ForceOpenProcessPagesFromWebSocket,"",1,All portal users
ForecastAutoCalculation,ForecastAutoCalculation,1,All employees
ForecastCalculationByOperationRights,"",1,All employees
ForecastDrilldown,"",1,All employees
ForecastDrilldownGoToSection,ForecastDrilldownGoToSection,0,All employees
ForecastGroupEdit,"",1,All employees
ForecastGroupSummary,"",1,All employees
ForecastHistoryDrilldown,"",1,All employees
ForecastRowRights,"",1,All employees
ForecastRowSnapshot,"",1,All employees
ForecastSaveHierarchy,"",1,All employees
ForecastSnapshot,"",1,All employees
ForecastSummaryFormula,"",0,All employees
ForecastUIV2,"",1,All employees
ForecastV2,ForecastV2,1,All employees
FormSubmitGeneratedWebForm,FormSubmitGeneratedWebForm,1,All employees
FromEmailFromNameMacros,"",1,All employees
FullPipeline,"",1,All employees
FullPipelineDesigner,Full pipeline designer,1,All employees
FullscreenForecasts,FullscreenForecasts,1,All employees
GenerateAnnyversaryOnSave,GenerateAnnyversaryOnSave,1,All employees
GenerateGridItemPrefixWithGuid,GenerateGridItemPrefixWithGuid,1,All employees
GenerateImagesListUsingDiv,Генерировать список иконок с помощью div,1,All employees
GenerateImagesListUsingDiv,Генерировать список иконок с помощью div,1,All portal users
GetProcessStepsViaResponse,GetProcessStepsViaResponse,1,All employees
GetProcessStepsViaResponse,GetProcessStepsViaResponse,1,All portal users
GlobalSearch,GlobalSearch,1,All employees
GlobalSearch,GlobalSearch,1,All portal users
HandleMessagePublishingExceptions,HandleMessagePublishingExceptions,1,All employees
HandleMessagePublishingExceptions,HandleMessagePublishingExceptions,1,All portal users
HideAutoEmailNotifications,HideAutoEmailNotifications,1,All employees
HighestSpeedFileImport,HighestSpeedFileImport,1,All employees
HtmlContentBuilder,HtmlContentBuilder,1,All employees
ImportDateTimeKindUnspecified,ImportDateTimeKindUnspecified,1,All employees
InstallApplicationUIV2,InstallApplicationUIV2,1,All employees
IsESEmailsSearch,IsESEmailsSearch,1,All employees
IsMacrosButtonHidden,IsMacrosButtonHidden,1,All employees
IsMailboxSyncSettingsCached,IsMailboxSyncSettingsCached,1,All employees
IsObjectLinkEnabled,IsObjectLinkEnabled,1,All employees
IsQuotesBody,IsQuotesBody,1,All employees
IsSSPContactSocialMentions,IsSSPContactSocialMentions,1,All employees
IsSSPContactSocialMentions,IsSSPContactSocialMentions,1,All portal users
LazyLoadDeduplicationResult,LazyLoadDeduplicationResult,1,All employees
LDAPUseSecureConnection,LDAPUseSecureConnection,1,All employees
LeadPortalMessages,"",0,All employees
LeadPortalMessages,"",0,All portal users
LinkPreview,LinkPreview,1,All employees
LoadAttachmentsInSameProcess,LoadAttachmentsInSameProcess,1,All employees
LoadPrimaryDisplayColumnForAggregateColumn,LoadPrimaryDisplayColumnForAggregateColumn,0,All employees
MacroFromBET717,"",1,All employees
MailboxRightsForEmail,MailboxRightsForEmail,1,All employees
MailboxSyncSettingsMacrosesEnabled,MailboxSyncSettingsMacrosesEnabled,1,All employees
ManageProcessCollectionParameters,ManageProcessCollectionParameters,1,All employees
ManageProcessCollectionParameters,ManageProcessCollectionParameters,1,All portal users
ManualLimitThrottlingQueue,"",1,All employees
MarketingContentBuilderWizard,"",1,All employees
MessageDirectionByMailbox,MessageDirectionByMailbox,1,All employees
MessageHistoryV2,"",1,All employees
MessageHistoryV2,"",1,All portal users
MinifyEmailHtml,MinifyEmailHtml,1,All employees
MjmlContentBuilder,MjmlContentBuilder,1,All employees
MobileContinueInterruptedImport,MobileContinueInterruptedImport,1,All employees
MobileContinueInterruptedImport,MobileContinueInterruptedImport,1,All portal users
MobileDisableSyncRelogin,MobileDisableSyncRelogin,0,All employees
MultiDelete,MultiDelete,1,All employees
MultiLanguageContentBuilderEnabled,MultiLanguageContentBuilderEnabled,1,All employees
MultilanguageRegistrationEmail,MultilanguageRegistrationEmail,1,All employees
NewCasePriorityLookup,NewCasePriorityLookup,1,All employees
NewChangeLogUI,NewChangeLogUI,1,All employees
NewConfigurationSettingsUI,NewConfigurationSettingsUI,1,All employees
NewCurrencyLookup,NewCurrencyLookup,1,All employees
NewLicenseManagerUI,NewLicenseManagerUI,1,All employees
NewMailboxSettingsUI,NewMailboxSettingsUI,1,All employees
NewOpportunityStageManager,NewOpportunityStageManager,1,All employees
NewProductCatalogueFolderManager,NewProductCatalogueFolderManager,1,All portal users
NewProductCatalogueFolderManager,NewProductCatalogueFolderManager,1,Supervisor
NewProductSelectionCatalogue,"",1,All employees
NewProductSelectionCatalogue,"",1,All portal users
NewQueueSortingUI,NewQueueSortingUI,1,All employees
NewRightsManagementUI,NewRightsManagementUI,1,All employees
NoCompilationFeature,NoCompilationFeature,1,All employees
NotificationsOnOneClassJob,NotificationsOnOneClassJob,0,All employees
NotificationV2,NotificationV2,1,All employees
NotificationV2,NotificationV2,1,All portal users
OAuth20Integration,OAuth20Integration,0,System administrators
OldMessageHistoryDisabled,OldMessageHistoryDisabled,1,All employees
OldMessageHistoryDisabled,OldMessageHistoryDisabled,1,All portal users
OpenEditPageInDcm,OpenEditPageInDcm,1,All employees
OpenProcessPagesInChain,OpenProcessPagesInChain,1,All employees
OpenProcessPagesInChain,OpenProcessPagesInChain,1,All portal users
OpportunityMetrics,Opportunity metrics,1,All employees
OpportunityMetrics,Opportunity metrics,1,Partner portal users
OptimizeMobileBackgroundTemplate,OptimizeMobileBackgroundTemplate,1,All employees
OutboundCampaign,OutboundCampaign,1,All employees
PageDesignerCustomGeneratorFix,PageDesignerCustomGeneratorFix,1,All employees
PageDesignerSourceCode,PageDesignerSourceCode,1,All employees
PassProcessParameterValueAsArray,PassProcessParameterValueAsArray,1,All employees
PassProcessParameterValueAsArray,PassProcessParameterValueAsArray,1,All portal users
PivotTable,PivotTable,1,All employees
Playbook,Playbook,1,All employees
PopulateBusinessRuleAction,PopulateBusinessRuleAction,1,All employees
PopulateBusinessRuleAction,PopulateBusinessRuleAction,1,All portal users
PortalColumnConfig,"",1,All employees
PortalColumnConfig,"",1,All portal users
PortalSetupInSystemDesigner,PortalSetupInSystemDesigner,1,All employees
PortalUserAction,PortalUserAction,1,All employees
PortalUserAction,PortalUserAction,1,All portal users
PortalUserManagementV2,PortalUserManagementV2,1,All employees
PortalUserManagementV2,PortalUserManagementV2,1,All portal users
PrimaryCommunicationSelector,PrimaryCommunicationSelector,,
PrivateMeetings,PrivateMeetings,1,All employees
ProcessDashboardRequest,ProcessDashboardRequest,1,All employees
ProcessDashboardRequest,ProcessDashboardRequest,1,All portal users
ProcessLogArchivation,ProcessLogArchivation,1,Supervisor
ProcessNotImplementedElements,ProcessNotImplementedElements,1,All employees
ProcessParameterCollections,ProcessParameterCollections,1,All employees
QueryStrictMode,QueryStrictMode,1,All employees
QuotedEmailInMessageHistory,QuotedEmailInMessageHistory,1,All employees
QuotedEmailInMessageHistory,QuotedEmailInMessageHistory,1,All portal users
RecurringCampaigns,RecurringCampaigns,1,All employees
RelatedEmails,RelatedEmails,1,All employees
