"Code","Name","Enabled","AdminUnit"
UseProcessPerformerAssignment,UseProcessPerformerAssignment,1,All portal users
UseProcessRemindings,UseProcessRemindings,1,All employees
UseProcessSchemaExecuteRights,UseProcessSchemaExecuteRights,1,All employees
UseProcessSchemaExecuteRights,UseProcessSchemaExecuteRights,1,All portal users
UseProductPriceListPrice,"",1,All employees
UseProductPriceListPrice,"",1,Partner portal users
UseQueryOptimize,UseQueryOptimize,1,All employees
UseRelationshipDesigner,UseRelationshipDesigner,1,All employees
UseSchemaNameGeneration,UseSchemaNameGeneration,1,All employees
UseServiceForDeleteFolder,UseServiceForDeleteFolder,1,All employees
UseServiceForIncludeEntitiesInFolder,UseServiceForIncludeEntitiesInFolder,1,All employees
UseSysSettingsRights,UseSysSettingsRights,1,All employees
UseTabOrderProperty,UseTabOrderProperty,1,All employees
UseTypedWorkplaces,Use typed workplaces,1,All employees
UseTypedWorkplaces,Use typed workplaces,1,All portal users
UseUrlPathEncodeForGenerateFileName,UseUrlPathEncodeForGenerateFileName,1,All employees
UseValuePickerDateTimeFunctions,UseValuePickerDateTimeFunctions,1,All employees
UseValuePickerDateTimeFunctions,UseValuePickerDateTimeFunctions,1,All portal users
UseValuePickerInPopulateBusinessRule,UseValuePickerInPopulateBusinessRule,1,All employees
UseVoiceToText,UseVoiceToText,1,All employees
UseVoiceToTextForTextEdit,UseVoiceToTextForTextEdit,0,All employees
UseVwWorkspaceObjects,UseVwWorkspaceObjects,1,All employees
UseWebToObject,UseWebToObject,0,All employees
ValignTopSimpleMarkupFeature,ValignTopSimpleMarkupFeature,1,All employees
VariableResponseCookieDataType,VariableResponseCookieDataType,1,All employees
VoiceToTextHtmlEdit,VoiceToTextHtmlEdit,0,All employees
WaitAllRequestsBeforeOpenProcessPage,WaitAllRequestsBeforeOpenProcessPage,1,All employees
WaitAllRequestsBeforeOpenProcessPage,WaitAllRequestsBeforeOpenProcessPage,1,All portal users
WaitForEntitySaveBeforeOpenProcessPage,WaitForEntitySaveBeforeOpenProcessPage,,
WarmUpEditPages,WarmUpEditPages,1,All employees
WbqjAnyVoipPackageUrl,WebitelAnyVoipPackageUrl,,
WebFormAsyncHandler,WebFormAsyncHandler,1,All employees
WebServiceDesigner,WebServiceDesigner,1,All employees
WebServiceOAuth20Auth,WebServiceOAuth20Auth,1,All employees
